epoch	scaling	#test	difAvg	0difAvg	accur	TP	TN	FP	FN	P	N	correct
note: difAvg error (squared) and 0-difAvg error (squared) are multiplied by 100
2	128	241	0.3509	0.3987	1.1362	99.1701	0.0	0.8299	0.0	99.1701	0.8299	99.1701
2	160	288	0.1369	0.2105	1.5373	99.6528	0.0	0.3472	0.0	99.6528	0.3472	99.6528
2	192	256	0.1498	0.1992	1.3296	99.6094	0.0	0.3906	0.0	99.6094	0.3906	99.6094
2	224	271	0.3464	0.4089	1.1804	100.0	0.0	0.0	0.0	100.0	0.0	100.0
2	256	270	0.2802	0.3193	1.1394	99.6296	0.0	0.3704	0.0	99.6296	0.3704	99.6296
2	320	251	0.2425	0.2581	1.0646	99.6016	0.0	0.3984	0.0	99.6016	0.3984	99.6016
2	384	271	0.3186	0.3425	1.075	99.262	0.0	0.738	0.0	99.262	0.738	99.262
2	448	268	0.4605	0.4918	1.0682	100.0	0.0	0.0	0.0	100.0	0.0	100.0
2	512	259	0.2394	0.2619	1.094	100.0	0.0	0.0	0.0	100.0	0.0	100.0
2	640	234	0.1921	0.2145	1.1163	99.5726	0.0	0.4274	0.0	99.5726	0.4274	99.5726
2	768	274	0.2604	0.2729	1.0479	100.0	0.0	0.0	0.0	100.0	0.0	100.0
2	896	285	0.3381	0.3588	1.061	100.0	0.0	0.0	0.0	100.0	0.0	100.0
2	1024	274	0.5291	0.5436	1.0276	100.0	0.0	0.0	0.0	100.0	0.0	100.0
2	1280	261	0.1822	0.1905	1.0455	99.6169	0.0	0.3831	0.0	99.6169	0.3831	99.6169
2	1536	278	0.4216	0.4321	1.0247	99.6403	0.0	0.3597	0.0	99.6403	0.3597	99.6403
2	1792	252	0.1936	0.1984	1.0248	99.2063	0.0	0.7937	0.0	99.2063	0.7937	99.2063
2	2048	250	0.3163	0.3227	1.0201	99.2	0.0	0.8	0.0	99.2	0.8	99.2
2	2560	267	0.2577	0.2612	1.0136	99.6255	0.0	0.3745	0.0	99.6255	0.3745	99.6255
2	3072	247	0.3271	0.3342	1.0215	99.5951	0.0	0.4049	0.0	99.5951	0.4049	99.5951
2	3584	249	0.2925	0.295	1.0084	100.0	0.0	0.0	0.0	100.0	0.0	100.0
2	4096	265	0.3502	0.3535	1.0094	99.6226	0.0	0.3774	0.0	99.6226	0.3774	99.6226
2	5120	279	0.4839	0.4885	1.0094	99.6416	0.0	0.3584	0.0	99.6416	0.3584	99.6416
2	6144	273	0.3773	0.3799	1.0068	99.6337	0.0	0.3663	0.0	99.6337	0.3663	99.6337
2	7168	279	0.3554	0.3575	1.006	99.2832	0.0	0.7168	0.0	99.2832	0.7168	99.2832
